Feature,Importance,fit_time_mean,score_time_mean,test_log_likelihood_mean,test_accuracy_mean,num_features
Null Model,0.0,0.006,0.006,-282.646,0.228,0
MeanRR,0.26165189439866965,0.009,0.007,-188.274,0.457,1
PERIMETER,0.23555309239613145,0.013,0.011,-103.99,0.756,2
MINOR_AXIS,0.11917579091817748,0.017,0.012,-77.903,0.837,3
EntropyRB,0.11213196017669776,0.03,0.018,-71.599,0.86,4
SkewRB,0.07393063163975638,0.016,0.012,-57.225,0.903,5
KurtosisRB,0.040618665884068775,0.018,0.014,-55.044,0.908,6
KurtosisRR,0.022656530148235363,0.018,0.014,-51.916,0.913,7
EXTENT,0.015879097006869833,0.021,0.014,-49.055,0.923,8
MAJOR_AXIS,0.01475670289249679,0.02,0.014,-46.279,0.923,9
SHAPEFACTOR_4,0.012746545245773913,0.023,0.015,-45.343,0.925,10
CONVEX_AREA,0.01237826489244827,0.023,0.016,-43.5,0.925,11
ROUNDNESS,0.011683189758334553,0.026,0.016,-40.787,0.929,12
ALLdaub4RR,0.009121480103502883,0.025,0.017,-39.518,0.933,13
MeanRB,0.0071622638497204705,0.025,0.018,-38.076,0.937,14
SOLIDITY,0.006969063166230314,0.029,0.017,-37.527,0.938,15
ASPECT_RATIO,0.006563308482411285,0.028,0.018,-37.505,0.938,16
SHAPEFACTOR_1,0.006159841713539997,0.029,0.018,-37.502,0.938,17
SHAPEFACTOR_3,0.004208935299341906,0.033,0.018,-35.436,0.944,18
MeanRG,0.003945876843133037,0.032,0.019,-34.599,0.948,19
EQDIASQ,0.003868734492285976,0.034,0.021,-33.582,0.951,20
EntropyRR,0.00315670147450643,0.034,0.02,-32.731,0.955,21
StdDevRG,0.003136722351250061,0.033,0.021,-30.615,0.957,22
KurtosisRG,0.00313061303256836,0.035,0.02,-29.814,0.961,23
StdDevRB,0.0028311027562756552,0.035,0.02,-28.014,0.969,24
AREA,0.002104467649670953,0.037,0.022,-27.368,0.97,25
COMPACTNESS,0.001578350737253215,0.036,0.023,-26.891,0.972,26
SkewRG,0.0015152167077630873,0.038,0.023,-26.374,0.97,27
ALLdaub4RB,0.0013849559828862134,0.039,0.024,-25.975,0.969,28
SkewRR,0.0,0.038,0.023,-25.43,0.971,29
StdDevRR,0.0,0.041,0.024,-24.906,0.972,30
SHAPEFACTOR_2,0.0,0.041,0.024,-24.506,0.972,31
EntropyRG,0.0,0.04,0.025,-24.1,0.975,32
ECCENTRICITY,0.0,0.045,0.03,-23.758,0.975,33
ALLdaub4RG,0.0,0.045,0.026,-23.59,0.975,34
